geo,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Sao Tome and Principe,34.6,32.1,84.4,85,115,116,36.9,39.5,73.6,68.6,82.2,62,59.7,58.5,57.9,54.4
Saudi Arabia,243,264,296,338,483,550,585,544,539,513,526,588,583,461,602,608
Senegal,14.7,17.3,17,18.1,21.2,21.6,23.7,27.4,31.1,33.7,50.1,57.5,58.2,58.7,57.7,60.3
Serbia,187,130,214,229,207,302,327,429,433,463,509,560,643,738,719,723
Seychelles,526,588,717,682,704,664,651,639,685,741,668,712,679,660,660,722
Sierra Leone,5.98,6.24,6.08,4.95,6.7,7.78,9.34,11.7,13,8.78,11.8,10.4,6.86,10.2,11.5,12.2
Singapore,387,394,411,494,469,422,417,379,503,426,466,483,503,610,762,825
Slovak Republic,446,515,517,535,537,540,593,650,699,780,848,922,1080,1260,1370,1360
Slovenia,755,804,864,925,986,1070,1160,1250,1270,1360,1420,1520,1530,1790,1870,1880
Solomon Islands,73.1,67.9,72.6,78.5,83.4,86.2,113,103,105,102,160,139,134,137,213,212
Somalia,7.22,7.43,7.46,7.78,7.48,7.56,7.68,,,,,,,,,
South Africa,169,171,198,209,226,228,239,242,260,257,287,312,340,375,407,412
South Korea,185,227,257,278,334,375,504,519,548,597,683,812,921,971,1090,1190
Spain,859,902,940,998,1040,1100,1160,1240,1420,1500,1600,1810,1960,2160,2260,2200
Sri Lanka,32.1,33.6,34.2,44.4,43.4,49.1,46.7,46.7,49.8,63.4,66.8,76.4,77.3,71.8,68.9,66.4
St. Kitts and Nevis,261,275,277,287,303,342,323,308,291,280,306,421,411,366,339,526
St. Lucia,190,234,201,219,224,233,246,251,242,265,273,332,335,411,502,486
St. Vincent and the Grenadines,145,149,178,165,179,192,204,238,248,255,262,315,358,438,411,403
Sudan,4.28,9.41,9.15,10.5,8.58,11.4,12.8,13.9,16.8,19.7,22.1,29.1,40,48.7,43.9,42.2
Suriname,108,128,145,202,171,171,180,173,175,190,213,254,251,230,289,250
Swaziland,82.7,92.1,87.6,92.3,99.2,110,113,121,155,139,158,189,183,212,224,212
Sweden,1510,1620,1620,1700,1830,1940,2030,2200,2320,2400,2400,2590,2790,2970,3030,3050
Switzerland,1360,1480,1560,1620,1690,1780,1940,2100,2180,2280,2370,2490,2690,2910,3050,3180
Syria,68.4,63.3,61.7,67.9,66.6,65.9,73.1,78.9,87.7,83.1,85.8,81.3,86.9,76.7,83.8,80.1
Tajikistan,10.8,9.1,11.5,8.62,8.17,8.13,9.1,9.55,10.7,12.5,17.2,18.5,21.1,26.5,30.7,34.2
Tanzania,9.68,8.86,10.7,9.7,9.38,10.9,12.7,12.8,16.5,14.7,19.6,42.8,43.6,42.9,48.4,56.2
Thailand,76.8,89.4,106,90.1,88.4,92.9,94.1,125,132,142,153,182,210,242,244,247
Timor-Leste,91.3,66.5,124,52.5,44.7,47.7,52,50.5,52.7,58.6,83.9,93.1,82.5,78.7,68.1,46.9
Togo,12.5,12.3,12.4,13.3,11.6,11.3,9.47,7.15,11.1,13.3,16.3,20.4,20,22.9,31.9,34
Tonga,78.1,82.9,90.8,99.9,123,115,156,145,167,163,235,204,248,238,167,187
Trinidad and Tobago,203,190,192,157,216,206,256,348,403,437,601,623,595,569,888,868
Tunisia,115,117,122,130,137,160,162,164,177,198,208,231,246,269,263,262
Turkey,126,154,186,222,238,286,303,328,338,389,421,512,570,664,719,774
Turkmenistan,30.9,35.1,48,51.6,41,66.2,70.7,71,93.6,99.8,96.2,83.7,85.5,73.7,107,118
Tuvalu,77.5,174,140,170,188,325,379,347,494,393,415,464,443,567,388,472
Uganda,9.17,10,11,10,13.8,12.2,14.1,17,17.9,16.4,20.9,20.9,19.7,20.1,25.7,27
Ukraine,132,115,100,104,88.8,95.4,114,141,182,203,214,243,275,280,273,294
United Arab Emirates,753,719,756,785,720,664,777,684,700,634,550,554,564,613,1500,1150
United Kingdom,1130,1190,1190,1250,1350,1450,1590,1740,1860,2070,2210,2410,2450,2660,2890,2920
United States,1680,1750,1810,1840,1920,2030,2230,2400,2610,2790,2950,3170,3360,3550,3800,4440
Uruguay,476,424,287,320,539,520,502,455,395,363,404,456,490,623,718,797
Uzbekistan,42.5,44.4,41.8,38.8,38.5,36.2,38.7,38.5,39.9,41.7,46,54.3,56.7,68.7,80.3,87.4
Vanuatu,27.8,23.2,32,96.4,83.8,92,90.3,89.3,87.6,85.5,83.4,95.2,132,160,189,217
Venezuela,149,122,121,128,170,200,213,178,165,204,232,264,326,308,294,206
Vietnam,17.1,17.4,18.6,21.3,22.2,22.8,26.5,25.4,29.5,29.3,33.1,50.2,73,63.1,76.4,81.5
Yemen,22.9,35,37.7,47.9,45.3,47.9,53.8,53.8,59.8,44.1,39.4,42,41.2,43.5,36.9,29.5
Zambia,28.3,32.3,36.7,35.5,25.3,26.5,32.2,41.5,41.7,41.3,44.5,47.6,42.9,50.7,52.8,54.4
Zimbabwe,31.5,29.6,31.9,46.2,27,36.7,21.5,,,,,,,,,
